INFO - xla_bridge.py - 2022-05-15 17:15:40,106 - Unable to initialize backend 'tpu_driver': NOT_FOUND: Unable to find driver in registry given worker: 
INFO - xla_bridge.py - 2022-05-15 17:15:40,139 - Unable to initialize backend 'tpu': INVALID_ARGUMENT: TpuPlatform is not available.
INFO - dataset_info.py - 2022-05-15 17:15:40,146 - Load dataset info from /home/nasseraa/tensorflow_datasets/cifar10/3.0.2
INFO - dataset_builder.py - 2022-05-15 17:15:43,196 - Reusing dataset cifar10 (/home/nasseraa/tensorflow_datasets/cifar10/3.0.2)
INFO - run_lib.py - 2022-05-15 20:32:36,564 - step: 1212850, training_loss: 9.40289e+01
INFO - run_lib.py - 2022-05-15 20:33:06,854 - step: 1212900, training_loss: 8.90142e+01
INFO - run_lib.py - 2022-05-15 20:33:36,990 - step: 1212950, training_loss: 7.14327e+01
INFO - run_lib.py - 2022-05-15 20:34:07,288 - step: 1213000, training_loss: 8.17050e+01
INFO - run_lib.py - 2022-05-15 20:34:17,739 - step: 1213000, eval_loss: 1.01082e+02
INFO - run_lib.py - 2022-05-15 20:40:13,487 - step: 1213050, training_loss: 9.04963e+01
INFO - run_lib.py - 2022-05-15 20:40:43,712 - step: 1213100, training_loss: 8.67985e+01
INFO - run_lib.py - 2022-05-15 20:41:13,780 - step: 1213150, training_loss: 7.93162e+01
INFO - run_lib.py - 2022-05-15 20:41:43,812 - step: 1213200, training_loss: 9.63761e+01
INFO - run_lib.py - 2022-05-15 20:42:14,043 - step: 1213250, training_loss: 8.20090e+01
INFO - run_lib.py - 2022-05-15 20:42:44,190 - step: 1213300, training_loss: 8.63242e+01
INFO - run_lib.py - 2022-05-15 20:43:14,389 - step: 1213350, training_loss: 9.24320e+01
INFO - run_lib.py - 2022-05-15 20:43:44,532 - step: 1213400, training_loss: 9.35766e+01
INFO - run_lib.py - 2022-05-15 20:44:14,789 - step: 1213450, training_loss: 8.12540e+01
INFO - run_lib.py - 2022-05-15 20:44:45,036 - step: 1213500, training_loss: 8.47489e+01
INFO - run_lib.py - 2022-05-15 20:45:15,227 - step: 1213550, training_loss: 7.73866e+01
INFO - run_lib.py - 2022-05-15 20:45:45,330 - step: 1213600, training_loss: 7.39635e+01
INFO - run_lib.py - 2022-05-15 20:46:15,297 - step: 1213650, training_loss: 8.74399e+01
INFO - run_lib.py - 2022-05-15 20:46:45,403 - step: 1213700, training_loss: 8.95058e+01
INFO - run_lib.py - 2022-05-15 20:47:15,427 - step: 1213750, training_loss: 7.10877e+01
INFO - run_lib.py - 2022-05-15 20:47:45,576 - step: 1213800, training_loss: 7.00369e+01
INFO - run_lib.py - 2022-05-15 20:48:15,543 - step: 1213850, training_loss: 7.90865e+01
INFO - run_lib.py - 2022-05-15 20:48:45,653 - step: 1213900, training_loss: 9.94442e+01
INFO - run_lib.py - 2022-05-15 20:49:15,912 - step: 1213950, training_loss: 9.28381e+01
INFO - run_lib.py - 2022-05-15 20:49:46,184 - step: 1214000, training_loss: 6.78220e+01
INFO - run_lib.py - 2022-05-15 20:49:56,625 - step: 1214000, eval_loss: 1.13011e+02
INFO - run_lib.py - 2022-05-15 20:55:55,283 - step: 1214050, training_loss: 8.29238e+01
INFO - run_lib.py - 2022-05-15 20:56:25,542 - step: 1214100, training_loss: 9.55470e+01
INFO - run_lib.py - 2022-05-15 20:56:55,816 - step: 1214150, training_loss: 7.91176e+01
INFO - run_lib.py - 2022-05-15 20:57:26,047 - step: 1214200, training_loss: 7.35830e+01
INFO - run_lib.py - 2022-05-15 20:57:56,257 - step: 1214250, training_loss: 9.00362e+01
INFO - run_lib.py - 2022-05-15 20:58:26,499 - step: 1214300, training_loss: 7.84471e+01
INFO - run_lib.py - 2022-05-15 20:58:56,687 - step: 1214350, training_loss: 6.83174e+01
INFO - run_lib.py - 2022-05-15 20:59:26,937 - step: 1214400, training_loss: 8.04725e+01
INFO - run_lib.py - 2022-05-15 20:59:57,176 - step: 1214450, training_loss: 9.02724e+01
INFO - run_lib.py - 2022-05-15 21:00:27,420 - step: 1214500, training_loss: 8.79468e+01
INFO - run_lib.py - 2022-05-15 21:00:57,751 - step: 1214550, training_loss: 8.47500e+01
INFO - run_lib.py - 2022-05-15 21:01:27,998 - step: 1214600, training_loss: 5.56739e+01
INFO - run_lib.py - 2022-05-15 21:01:58,276 - step: 1214650, training_loss: 9.21514e+01
INFO - run_lib.py - 2022-05-15 21:02:28,544 - step: 1214700, training_loss: 8.48134e+01
INFO - run_lib.py - 2022-05-15 21:02:58,765 - step: 1214750, training_loss: 8.62332e+01
INFO - run_lib.py - 2022-05-15 21:03:28,999 - step: 1214800, training_loss: 6.38009e+01
INFO - run_lib.py - 2022-05-15 21:03:59,201 - step: 1214850, training_loss: 8.93566e+01
INFO - run_lib.py - 2022-05-15 21:04:29,320 - step: 1214900, training_loss: 9.00225e+01
INFO - run_lib.py - 2022-05-15 21:04:59,505 - step: 1214950, training_loss: 7.65295e+01
INFO - run_lib.py - 2022-05-15 21:05:29,744 - step: 1215000, training_loss: 7.17552e+01
INFO - run_lib.py - 2022-05-15 21:05:40,187 - step: 1215000, eval_loss: 1.12349e+02
INFO - run_lib.py - 2022-05-15 21:11:35,764 - step: 1215050, training_loss: 9.63289e+01
INFO - run_lib.py - 2022-05-15 21:12:06,068 - step: 1215100, training_loss: 7.86139e+01
INFO - run_lib.py - 2022-05-15 21:12:36,341 - step: 1215150, training_loss: 7.91186e+01
INFO - run_lib.py - 2022-05-15 21:13:06,621 - step: 1215200, training_loss: 7.66128e+01
INFO - run_lib.py - 2022-05-15 21:13:36,900 - step: 1215250, training_loss: 8.60261e+01
INFO - run_lib.py - 2022-05-15 21:14:07,148 - step: 1215300, training_loss: 8.31738e+01
INFO - run_lib.py - 2022-05-15 21:14:37,429 - step: 1215350, training_loss: 7.67993e+01
INFO - run_lib.py - 2022-05-15 21:15:07,684 - step: 1215400, training_loss: 8.80310e+01
INFO - run_lib.py - 2022-05-15 21:15:37,955 - step: 1215450, training_loss: 8.37104e+01
INFO - run_lib.py - 2022-05-15 21:16:08,219 - step: 1215500, training_loss: 9.26477e+01
INFO - run_lib.py - 2022-05-15 21:16:38,471 - step: 1215550, training_loss: 1.04525e+02
INFO - run_lib.py - 2022-05-15 21:17:08,770 - step: 1215600, training_loss: 8.50247e+01
INFO - run_lib.py - 2022-05-15 21:17:39,029 - step: 1215650, training_loss: 7.96052e+01
INFO - run_lib.py - 2022-05-15 21:18:09,325 - step: 1215700, training_loss: 1.04493e+02
INFO - run_lib.py - 2022-05-15 21:18:39,606 - step: 1215750, training_loss: 8.66129e+01
INFO - run_lib.py - 2022-05-15 21:19:09,826 - step: 1215800, training_loss: 8.57733e+01
INFO - run_lib.py - 2022-05-15 21:19:39,997 - step: 1215850, training_loss: 8.51959e+01
INFO - run_lib.py - 2022-05-15 21:20:10,214 - step: 1215900, training_loss: 8.15945e+01
INFO - run_lib.py - 2022-05-15 21:20:40,508 - step: 1215950, training_loss: 8.85673e+01
INFO - run_lib.py - 2022-05-15 21:21:10,824 - step: 1216000, training_loss: 7.98695e+01
INFO - run_lib.py - 2022-05-15 21:21:21,131 - step: 1216000, eval_loss: 9.63756e+01
INFO - run_lib.py - 2022-05-15 21:27:19,678 - step: 1216050, training_loss: 8.45142e+01
INFO - run_lib.py - 2022-05-15 21:27:49,855 - step: 1216100, training_loss: 7.38577e+01
INFO - run_lib.py - 2022-05-15 21:28:20,113 - step: 1216150, training_loss: 8.08183e+01
INFO - run_lib.py - 2022-05-15 21:28:50,370 - step: 1216200, training_loss: 9.55819e+01
INFO - run_lib.py - 2022-05-15 21:29:20,643 - step: 1216250, training_loss: 7.86256e+01
INFO - run_lib.py - 2022-05-15 21:29:50,935 - step: 1216300, training_loss: 9.80159e+01
INFO - run_lib.py - 2022-05-15 21:30:21,199 - step: 1216350, training_loss: 6.93052e+01
INFO - run_lib.py - 2022-05-15 21:30:51,434 - step: 1216400, training_loss: 8.83104e+01
INFO - run_lib.py - 2022-05-15 21:31:21,632 - step: 1216450, training_loss: 8.08906e+01
INFO - run_lib.py - 2022-05-15 21:31:51,917 - step: 1216500, training_loss: 6.58846e+01
INFO - run_lib.py - 2022-05-15 21:32:22,198 - step: 1216550, training_loss: 7.24187e+01
INFO - run_lib.py - 2022-05-15 21:32:52,438 - step: 1216600, training_loss: 8.65545e+01
INFO - run_lib.py - 2022-05-15 21:33:22,709 - step: 1216650, training_loss: 9.04719e+01
INFO - run_lib.py - 2022-05-15 21:33:52,891 - step: 1216700, training_loss: 9.09451e+01
INFO - run_lib.py - 2022-05-15 21:34:23,143 - step: 1216750, training_loss: 7.43528e+01
INFO - run_lib.py - 2022-05-15 21:34:53,440 - step: 1216800, training_loss: 7.29503e+01
INFO - run_lib.py - 2022-05-15 21:35:23,716 - step: 1216850, training_loss: 7.05535e+01
INFO - run_lib.py - 2022-05-15 21:35:54,014 - step: 1216900, training_loss: 9.49706e+01
INFO - run_lib.py - 2022-05-15 21:36:24,297 - step: 1216950, training_loss: 6.68287e+01
INFO - run_lib.py - 2022-05-15 21:36:54,570 - step: 1217000, training_loss: 8.53366e+01
INFO - run_lib.py - 2022-05-15 21:37:04,962 - step: 1217000, eval_loss: 8.05338e+01
INFO - run_lib.py - 2022-05-15 21:42:59,600 - step: 1217050, training_loss: 7.30362e+01
INFO - run_lib.py - 2022-05-15 21:43:29,728 - step: 1217100, training_loss: 8.61331e+01
INFO - run_lib.py - 2022-05-15 21:43:59,838 - step: 1217150, training_loss: 7.23689e+01
INFO - run_lib.py - 2022-05-15 21:44:29,848 - step: 1217200, training_loss: 8.64149e+01
INFO - run_lib.py - 2022-05-15 21:44:59,986 - step: 1217250, training_loss: 8.05446e+01
INFO - run_lib.py - 2022-05-15 21:45:30,117 - step: 1217300, training_loss: 9.14161e+01
INFO - run_lib.py - 2022-05-15 21:46:00,241 - step: 1217350, training_loss: 7.54044e+01
INFO - run_lib.py - 2022-05-15 21:46:30,395 - step: 1217400, training_loss: 7.88142e+01
INFO - run_lib.py - 2022-05-15 21:47:00,535 - step: 1217450, training_loss: 8.95723e+01
INFO - run_lib.py - 2022-05-15 21:47:30,593 - step: 1217500, training_loss: 8.12279e+01
INFO - run_lib.py - 2022-05-15 21:48:00,688 - step: 1217550, training_loss: 8.00020e+01
INFO - run_lib.py - 2022-05-15 21:48:30,825 - step: 1217600, training_loss: 1.02463e+02
INFO - run_lib.py - 2022-05-15 21:49:00,951 - step: 1217650, training_loss: 1.06027e+02
INFO - run_lib.py - 2022-05-15 21:49:31,093 - step: 1217700, training_loss: 8.24584e+01
INFO - run_lib.py - 2022-05-15 21:50:01,261 - step: 1217750, training_loss: 7.59888e+01
INFO - run_lib.py - 2022-05-15 21:50:31,361 - step: 1217800, training_loss: 8.91375e+01
INFO - run_lib.py - 2022-05-15 21:51:01,453 - step: 1217850, training_loss: 8.98501e+01
INFO - run_lib.py - 2022-05-15 21:51:31,565 - step: 1217900, training_loss: 8.86725e+01
INFO - run_lib.py - 2022-05-15 21:52:01,688 - step: 1217950, training_loss: 7.33516e+01
INFO - run_lib.py - 2022-05-15 21:52:31,828 - step: 1218000, training_loss: 8.18637e+01
INFO - run_lib.py - 2022-05-15 21:52:42,141 - step: 1218000, eval_loss: 9.02085e+01
INFO - run_lib.py - 2022-05-15 21:58:35,626 - step: 1218050, training_loss: 7.20413e+01
INFO - run_lib.py - 2022-05-15 21:59:05,725 - step: 1218100, training_loss: 7.96372e+01
INFO - run_lib.py - 2022-05-15 21:59:35,848 - step: 1218150, training_loss: 9.91565e+01
INFO - run_lib.py - 2022-05-15 22:00:05,949 - step: 1218200, training_loss: 6.54146e+01
INFO - run_lib.py - 2022-05-15 22:00:35,937 - step: 1218250, training_loss: 7.26178e+01
INFO - run_lib.py - 2022-05-15 22:01:06,052 - step: 1218300, training_loss: 9.21066e+01
INFO - run_lib.py - 2022-05-15 22:01:36,206 - step: 1218350, training_loss: 7.66440e+01
INFO - run_lib.py - 2022-05-15 22:02:06,281 - step: 1218400, training_loss: 1.01789e+02
INFO - run_lib.py - 2022-05-15 22:02:36,400 - step: 1218450, training_loss: 6.44444e+01
INFO - run_lib.py - 2022-05-15 22:03:06,519 - step: 1218500, training_loss: 8.06113e+01
INFO - run_lib.py - 2022-05-15 22:03:36,643 - step: 1218550, training_loss: 7.47051e+01
INFO - run_lib.py - 2022-05-15 22:04:06,763 - step: 1218600, training_loss: 8.94749e+01
INFO - run_lib.py - 2022-05-15 22:04:36,890 - step: 1218650, training_loss: 7.08233e+01
INFO - run_lib.py - 2022-05-15 22:05:07,004 - step: 1218700, training_loss: 9.81459e+01
INFO - run_lib.py - 2022-05-15 22:05:37,144 - step: 1218750, training_loss: 7.22082e+01
INFO - run_lib.py - 2022-05-15 22:06:07,446 - step: 1218800, training_loss: 7.73162e+01
INFO - run_lib.py - 2022-05-15 22:06:37,661 - step: 1218850, training_loss: 1.03662e+02
INFO - run_lib.py - 2022-05-15 22:07:07,832 - step: 1218900, training_loss: 8.29630e+01
INFO - run_lib.py - 2022-05-15 22:07:38,130 - step: 1218950, training_loss: 6.60552e+01
INFO - run_lib.py - 2022-05-15 22:08:08,391 - step: 1219000, training_loss: 6.55000e+01
INFO - run_lib.py - 2022-05-15 22:08:18,770 - step: 1219000, eval_loss: 1.07196e+02
INFO - run_lib.py - 2022-05-15 22:14:14,659 - step: 1219050, training_loss: 7.90559e+01
INFO - run_lib.py - 2022-05-15 22:14:44,932 - step: 1219100, training_loss: 5.83793e+01
INFO - run_lib.py - 2022-05-15 22:15:15,248 - step: 1219150, training_loss: 8.43854e+01
INFO - run_lib.py - 2022-05-15 22:15:45,507 - step: 1219200, training_loss: 7.87918e+01
INFO - run_lib.py - 2022-05-15 22:16:15,800 - step: 1219250, training_loss: 8.20544e+01
INFO - run_lib.py - 2022-05-15 22:16:46,100 - step: 1219300, training_loss: 6.80656e+01
INFO - run_lib.py - 2022-05-15 22:17:16,387 - step: 1219350, training_loss: 8.12796e+01
INFO - run_lib.py - 2022-05-15 22:17:46,660 - step: 1219400, training_loss: 1.05224e+02
INFO - run_lib.py - 2022-05-15 22:18:16,908 - step: 1219450, training_loss: 9.22569e+01
INFO - run_lib.py - 2022-05-15 22:18:47,210 - step: 1219500, training_loss: 6.83775e+01
INFO - run_lib.py - 2022-05-15 22:19:17,482 - step: 1219550, training_loss: 6.96802e+01
INFO - run_lib.py - 2022-05-15 22:19:47,790 - step: 1219600, training_loss: 8.00189e+01
INFO - run_lib.py - 2022-05-15 22:20:18,095 - step: 1219650, training_loss: 7.50828e+01
INFO - run_lib.py - 2022-05-15 22:20:48,351 - step: 1219700, training_loss: 8.45193e+01
INFO - run_lib.py - 2022-05-15 22:21:18,659 - step: 1219750, training_loss: 8.06851e+01
INFO - run_lib.py - 2022-05-15 22:21:48,931 - step: 1219800, training_loss: 9.50035e+01
INFO - run_lib.py - 2022-05-15 22:22:19,251 - step: 1219850, training_loss: 8.59636e+01
INFO - run_lib.py - 2022-05-15 22:22:49,568 - step: 1219900, training_loss: 8.84024e+01
INFO - run_lib.py - 2022-05-15 22:23:19,900 - step: 1219950, training_loss: 7.48120e+01
INFO - run_lib.py - 2022-05-15 22:23:50,170 - step: 1220000, training_loss: 7.12484e+01
INFO - run_lib.py - 2022-05-15 22:24:00,608 - step: 1220000, eval_loss: 1.23150e+02
INFO - run_lib.py - 2022-05-15 22:29:56,613 - step: 1220050, training_loss: 8.63600e+01
INFO - run_lib.py - 2022-05-15 22:30:26,889 - step: 1220100, training_loss: 8.03079e+01
INFO - run_lib.py - 2022-05-15 22:30:57,180 - step: 1220150, training_loss: 8.71279e+01
INFO - run_lib.py - 2022-05-15 22:31:27,377 - step: 1220200, training_loss: 1.04309e+02
INFO - run_lib.py - 2022-05-15 22:31:57,767 - step: 1220250, training_loss: 9.11537e+01
INFO - run_lib.py - 2022-05-15 22:32:28,054 - step: 1220300, training_loss: 8.03333e+01
INFO - run_lib.py - 2022-05-15 22:32:58,312 - step: 1220350, training_loss: 7.63241e+01
INFO - run_lib.py - 2022-05-15 22:33:28,640 - step: 1220400, training_loss: 7.23149e+01
INFO - run_lib.py - 2022-05-15 22:33:58,896 - step: 1220450, training_loss: 6.11735e+01
INFO - run_lib.py - 2022-05-15 22:34:29,181 - step: 1220500, training_loss: 8.08595e+01
INFO - run_lib.py - 2022-05-15 22:34:59,464 - step: 1220550, training_loss: 7.04833e+01
INFO - run_lib.py - 2022-05-15 22:35:29,728 - step: 1220600, training_loss: 6.10660e+01
INFO - run_lib.py - 2022-05-15 22:36:00,031 - step: 1220650, training_loss: 5.83619e+01
INFO - run_lib.py - 2022-05-15 22:36:30,143 - step: 1220700, training_loss: 8.13244e+01
INFO - run_lib.py - 2022-05-15 22:37:00,429 - step: 1220750, training_loss: 8.15249e+01
INFO - run_lib.py - 2022-05-15 22:37:30,572 - step: 1220800, training_loss: 6.95692e+01
INFO - run_lib.py - 2022-05-15 22:38:00,780 - step: 1220850, training_loss: 9.49675e+01
INFO - run_lib.py - 2022-05-15 22:38:31,106 - step: 1220900, training_loss: 7.61692e+01
INFO - run_lib.py - 2022-05-15 22:39:01,373 - step: 1220950, training_loss: 7.28908e+01
INFO - run_lib.py - 2022-05-15 22:39:31,646 - step: 1221000, training_loss: 8.52423e+01
INFO - run_lib.py - 2022-05-15 22:39:42,100 - step: 1221000, eval_loss: 9.06184e+01
INFO - run_lib.py - 2022-05-15 22:45:38,215 - step: 1221050, training_loss: 8.08143e+01
INFO - run_lib.py - 2022-05-15 22:46:08,513 - step: 1221100, training_loss: 9.04979e+01
INFO - run_lib.py - 2022-05-15 22:46:38,782 - step: 1221150, training_loss: 6.20245e+01
INFO - run_lib.py - 2022-05-15 22:47:09,067 - step: 1221200, training_loss: 9.01248e+01
INFO - run_lib.py - 2022-05-15 22:47:39,365 - step: 1221250, training_loss: 7.58796e+01
INFO - run_lib.py - 2022-05-15 22:48:09,647 - step: 1221300, training_loss: 7.46590e+01
INFO - run_lib.py - 2022-05-15 22:48:39,932 - step: 1221350, training_loss: 8.29557e+01
INFO - run_lib.py - 2022-05-15 22:49:10,194 - step: 1221400, training_loss: 7.61044e+01
INFO - run_lib.py - 2022-05-15 22:49:40,495 - step: 1221450, training_loss: 7.30580e+01
INFO - run_lib.py - 2022-05-15 22:50:10,733 - step: 1221500, training_loss: 5.85557e+01
INFO - run_lib.py - 2022-05-15 22:50:40,792 - step: 1221550, training_loss: 9.22830e+01
INFO - run_lib.py - 2022-05-15 22:51:11,096 - step: 1221600, training_loss: 8.04305e+01
INFO - run_lib.py - 2022-05-15 22:51:41,388 - step: 1221650, training_loss: 6.90863e+01
INFO - run_lib.py - 2022-05-15 22:52:11,700 - step: 1221700, training_loss: 8.56480e+01
INFO - run_lib.py - 2022-05-15 22:52:41,986 - step: 1221750, training_loss: 7.25827e+01
INFO - run_lib.py - 2022-05-15 22:53:12,293 - step: 1221800, training_loss: 6.22723e+01
INFO - run_lib.py - 2022-05-15 22:53:42,566 - step: 1221850, training_loss: 9.79961e+01
INFO - run_lib.py - 2022-05-15 22:54:12,809 - step: 1221900, training_loss: 7.61484e+01
INFO - run_lib.py - 2022-05-15 22:54:43,047 - step: 1221950, training_loss: 8.92868e+01
INFO - run_lib.py - 2022-05-15 22:55:13,258 - step: 1222000, training_loss: 8.40921e+01
INFO - run_lib.py - 2022-05-15 22:55:26,027 - step: 1222000, eval_loss: 1.23909e+02
INFO - run_lib.py - 2022-05-15 23:01:20,487 - step: 1222050, training_loss: 6.79856e+01
INFO - run_lib.py - 2022-05-15 23:01:50,699 - step: 1222100, training_loss: 1.13324e+02
INFO - run_lib.py - 2022-05-15 23:02:20,889 - step: 1222150, training_loss: 8.44707e+01
INFO - run_lib.py - 2022-05-15 23:02:51,119 - step: 1222200, training_loss: 6.55773e+01
INFO - run_lib.py - 2022-05-15 23:03:21,300 - step: 1222250, training_loss: 7.79957e+01
INFO - run_lib.py - 2022-05-15 23:03:51,505 - step: 1222300, training_loss: 8.23336e+01
INFO - run_lib.py - 2022-05-15 23:04:21,724 - step: 1222350, training_loss: 8.68596e+01
INFO - run_lib.py - 2022-05-15 23:04:51,911 - step: 1222400, training_loss: 8.69084e+01
INFO - run_lib.py - 2022-05-15 23:05:22,120 - step: 1222450, training_loss: 9.20794e+01
INFO - run_lib.py - 2022-05-15 23:05:52,305 - step: 1222500, training_loss: 8.95316e+01
INFO - run_lib.py - 2022-05-15 23:06:22,671 - step: 1222550, training_loss: 7.68545e+01
INFO - run_lib.py - 2022-05-15 23:06:52,858 - step: 1222600, training_loss: 7.29214e+01
INFO - run_lib.py - 2022-05-15 23:07:23,084 - step: 1222650, training_loss: 8.44093e+01
INFO - run_lib.py - 2022-05-15 23:07:53,271 - step: 1222700, training_loss: 8.81666e+01
INFO - run_lib.py - 2022-05-15 23:08:23,482 - step: 1222750, training_loss: 1.03148e+02
INFO - run_lib.py - 2022-05-15 23:08:53,715 - step: 1222800, training_loss: 8.00519e+01
INFO - run_lib.py - 2022-05-15 23:09:23,911 - step: 1222850, training_loss: 8.03964e+01
INFO - run_lib.py - 2022-05-15 23:09:54,121 - step: 1222900, training_loss: 8.34559e+01
INFO - run_lib.py - 2022-05-15 23:10:24,293 - step: 1222950, training_loss: 8.35116e+01
INFO - run_lib.py - 2022-05-15 23:10:54,506 - step: 1223000, training_loss: 8.34189e+01
INFO - run_lib.py - 2022-05-15 23:11:05,249 - step: 1223000, eval_loss: 1.16586e+02
